timestamp,open,high,low,close,volume
1709251200000,3340.1,3380.0,3338.54,3378.73,21396.3919
1709254800000,3378.73,3388.82,3364.61,3375.2,20170.9398
1709258400000,3375.2,3380.83,3352.05,3366.73,13248.5356
1709262000000,3366.73,3377.59,3355.18,3367.79,11386.0363
1709265600000,3367.78,3382.43,3365.59,3376.87,13837.3731
1709269200000,3376.87,3386.65,3368.9,3368.9,11423.7132
1709272800000,3368.91,3399.0,3368.52,3387.26,15260.7699
1709276400000,3387.26,3396.01,3364.32,3365.41,14902.1153
1709280000000,3365.41,3437.08,3353.74,3420.93,51341.8222
1709283600000,3420.94,3431.76,3416.75,3429.14,15375.3166
1709287200000,3429.13,3429.14,3400.61,3406.04,13245.9951
1709290800000,3406.04,3418.32,3398.61,3410.9,11726.0176
1709294400000,3410.89,3436.86,3410.26,3423.98,13534.4603
1709298000000,3423.98,3449.81,3422.6,3438.51,15137.9077
1709301600000,3438.5,3449.41,3382.1,3415.85,34918.4622
1709305200000,3415.84,3428.28,3379.6,3390.76,26222.3249
1709308800000,3390.76,3402.49,3380.06,3387.19,20676.2846
1709312400000,3387.19,3425.45,3387.19,3419.39,17209.914
1709316000000,3419.38,3433.91,3410.19,3431.69,14897.0747
1709319600000,3431.69,3435.9,3420.0,3427.73,11098.4712
1709323200000,3427.73,3450.0,3421.28,3443.64,14618.2126
1709326800000,3443.65,3448.99,3423.61,3426.71,12755.1301
1709330400000,3426.71,3438.0,3424.36,3433.21,8366.3778
1709334000000,3433.21,3450.0,3428.84,3433.43,10038.9306
1709337600000,3433.42,3460.04,3427.3,3457.82,19911.4755
1709341200000,3457.81,3458.48,3424.71,3442.47,13311.3401
1709344800000,3442.47,3446.47,3428.73,3437.68,10271.5455
1709348400000,3437.67,3444.15,3428.44,3442.34,10109.6104
1709352000000,3442.33,3445.0,3427.56,3427.57,10073.9166
1709355600000,3427.56,3431.0,3390.01,3419.7,33936.0911
1709359200000,3419.69,3452.76,3414.71,3435.82,20029.1321
