open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764547200000,90320.50,90396.90,86939.60,86970.70,43263.872,1764550799999,3826966306.53590,917638,18760.682,1658537504.27960,0
1764550800000,86970.60,87713.90,86900.00,87134.00,14009.800,1764554399999,1223836729.04310,376746,7719.228,674362504.51460,0
1764554400000,87134.00,87472.10,86428.70,86685.60,13283.858,1764557999999,1153702248.18100,303573,5927.644,514971877.84540,0
1764558000000,86685.70,86791.20,86126.00,86319.20,9665.362,1764561599999,834984448.89540,257858,4466.611,385903267.50630,0
1764561600000,86319.10,86331.10,85666.00,85767.70,10853.729,1764565199999,932625227.49310,254124,4969.575,427031373.36930,0
1764565200000,85767.70,85979.00,85563.70,85966.90,7100.667,1764568799999,609227928.59970,164481,3520.904,302123005.11070,0
1764568800000,85966.80,86314.40,85929.50,86189.90,8181.552,1764572399999,704591885.00020,158182,4395.346,378535389.10380,0
1764572400000,86190.00,86524.60,86006.80,86487.60,5673.479,1764575999999,489690114.07440,148052,2937.569,253555143.30150,0
1764576000000,86487.30,86842.00,86339.50,86811.00,5624.916,1764579599999,487096631.51610,137756,2915.635,252519214.24830,0
1764579600000,86811.00,86886.00,86459.10,86659.10,4945.855,1764583199999,428783663.38390,147805,2327.055,201758829.58790,0
1764583200000,86659.20,86770.50,86500.80,86599.00,2313.357,1764586799999,200372404.21280,76784,965.372,83617999.80240,0
1764586800000,86599.00,86658.00,86090.00,86100.10,6891.388,1764590399999,595126817.26600,121059,3202.392,276538774.21910,0
1764590400000,86100.00,86193.00,84700.10,85396.20,22053.365,1764593999999,1884531024.08440,389027,10612.632,906856400.47500,0
1764594000000,85396.30,86129.80,85310.20,85943.20,13416.465,1764597599999,1151803273.85900,300426,7146.807,613584946.26360,0
1764597600000,85943.70,86625.00,85810.60,86017.30,16433.755,1764601199999,1416035643.13220,386375,8387.736,722829290.29900,0
1764601200000,86017.40,86089.90,83786.00,84650.00,31532.320,1764604799999,2672897912.63350,702272,14705.793,1246140843.29150,0
1764604800000,84650.00,85436.60,84011.00,84540.30,20660.477,1764608399999,1749282184.46590,447798,10920.180,924559752.90670,0
1764608400000,84540.40,85236.60,84414.10,84902.80,8904.094,1764611999999,755265044.31510,250786,4649.445,394385667.20370,0
1764612000000,84902.60,85528.70,84677.80,85159.20,11362.663,1764615599999,968090485.56660,234624,7225.639,615962912.70070,0
1764615600000,85159.10,85262.30,84566.40,84985.00,5679.577,1764619199999,482084486.41970,195119,2938.137,249382994.04340,0
1764619200000,84985.00,85801.50,84966.80,85474.10,11259.289,1764622799999,962497015.74580,278778,6247.075,534025201.29920,0
1764622800000,85474.10,86462.70,85456.00,86380.10,12408.489,1764626399999,1067874757.44490,247000,7229.779,622087201.63460,0
1764626400000,86380.10,86817.00,86238.10,86518.20,6600.985,1764629999999,571488126.51710,151008,3290.480,284916856.51920,0
1764630000000,86518.40,86778.00,86200.00,86241.60,4727.852,1764633599999,409069888.09380,120716,2314.761,200328663.75930,0
1764633600000,86241.50,86630.10,86140.10,86472.00,4710.893,1764637199999,406791589.25340,150087,2604.566,224910179.41840,0
1764637200000,86471.90,87384.00,86346.10,86409.90,9038.996,1764640799999,784798279.11280,252423,4954.412,430254151.07200,0
1764640800000,86409.90,86823.00,86223.20,86501.20,4338.017,1764644399999,375657652.69250,144883,2226.759,192829874.00200,0
1764644400000,86501.10,87066.50,86159.90,86936.00,5559.273,1764647999999,481459508.15570,149761,2843.695,246330218.87610,0
1764648000000,86935.90,87245.90,86859.20,86924.90,4311.149,1764651599999,375146512.32590,130593,2053.230,178683094.89360,0
1764651600000,86924.80,87081.40,86772.00,86968.70,2698.348,1764655199999,234573072.28100,90853,1308.250,113739512.32880,0
1764655200000,86968.60,87148.70,86820.00,87043.70,2677.164,1764658799999,232880706.02780,84458,1312.356,114163542.84770,0
1764658800000,87043.70,87075.00,86834.50,86965.00,2293.045,1764662399999,199361038.85380,71364,1131.656,98389614.61650,0
1764662400000,86965.00,87018.10,86321.00,86438.00,8634.229,1764665999999,747450288.27940,167995,3682.030,318713055.81490,0
1764666000000,86438.10,86964.10,86416.70,86734.40,4493.427,1764669599999,389611889.49740,127140,2553.161,221370592.18990,0
1764669600000,86734.40,87640.00,86724.40,87241.80,6046.356,1764673199999,527251745.85790,141930,3609.927,314823169.28800,0
1764673200000,87241.80,87576.50,86908.80,87326.90,5394.849,1764676799999,470649843.87450,147131,2641.284,230492282.49300,0
1764676800000,87327.00,87516.00,87130.30,87225.60,4157.198,1764680399999,362931079.87740,114599,1727.926,150873206.22790,0
1764680400000,87225.60,87870.20,87005.00,87691.30,8505.955,1764683999999,743976164.88030,201987,4424.593,387010121.94430,0
1764684000000,87691.20,89246.10,87560.00,89225.10,28304.844,1764687599999,2507186390.06970,598204,15079.743,1335580814.51090,0
1764687600000,89225.10,91211.30,89225.00,90809.20,37597.047,1764691199999,3395708071.61170,822192,20351.512,1837950326.65410,0
1764691200000,90809.20,91309.40,90156.40,90713.90,17983.841,1764694799999,1631805242.42690,431355,8607.125,781049466.69530,0
1764694800000,90713.80,91969.00,90698.70,91417.50,17158.288,1764698399999,1568932214.30000,363257,9440.226,863352262.89530,0
1764698400000,91417.50,92253.70,91299.90,91905.00,12393.917,1764701999999,1138304591.80910,279596,6535.858,600434418.28030,0
1764702000000,91905.00,92273.20,91791.00,91849.90,7369.576,1764705599999,678089857.14680,173900,3581.287,329518596.09190,0
1764705600000,91849.90,91883.80,90643.50,90976.10,18067.170,1764709199999,1647316206.26860,301353,7120.046,648937072.12390,0
1764709200000,90976.10,91573.60,90904.30,91500.20,5518.836,1764712799999,503821941.97060,134639,2895.121,264301487.29780,0
1764712800000,91500.20,91970.40,91443.50,91932.70,6609.794,1764716399999,606114353.34700,131560,3417.530,313411826.49660,0
1764716400000,91932.70,91943.60,91231.00,91249.10,4238.953,1764719999999,388200377.35590,109107,1871.167,171375284.13950,0
1764720000000,91249.10,91716.00,90954.80,91620.30,6354.318,1764723599999,580229049.41190,193704,3436.661,313856841.77700,0
1764723600000,91620.30,92465.60,91418.70,92215.30,7931.300,1764727199999,729610191.08240,228220,4856.403,446812285.16880,0
1764727200000,92215.50,93020.00,92101.20,92784.20,11534.707,1764730799999,1068339421.63470,332157,6614.588,612777075.06040,0
1764730800000,92784.10,93068.90,92545.60,92589.20,4788.019,1764734399999,444025586.11670,168423,2401.701,222761249.45380,0
1764734400000,92589.20,93456.00,92578.00,93302.20,9846.885,1764737999999,915925290.97870,249672,5663.608,526986543.48030,0
1764738000000,93302.10,93632.50,93051.90,93591.00,9868.355,1764741599999,921442421.70720,256604,5156.965,481617791.17070,0
1764741600000,93591.10,93932.70,93092.50,93386.00,11294.072,1764745199999,1056784898.70470,265727,5084.508,475878101.80800,0
1764745200000,93386.00,93418.60,92820.00,92969.90,6957.400,1764748799999,647273680.68350,188591,2934.103,272997298.80530,0
