open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764640800000,2793.90,2813.00,2783.70,2799.69,112151.851,1764644399999,314206563.81321,241044,55725.919,156121863.94633,0
1764644400000,2799.69,2809.45,2783.78,2803.25,118101.035,1764647999999,330270475.03540,198789,59037.636,165130543.02249,0
1764648000000,2803.24,2813.29,2802.26,2803.84,76681.026,1764651599999,215202011.96046,155194,37175.388,104340780.92907,0
1764651600000,2803.84,2805.66,2796.00,2801.99,59741.769,1764655199999,167320269.38206,120151,31262.868,87564289.89342,0
1764655200000,2801.99,2814.80,2796.25,2811.72,73492.681,1764658799999,206255087.05216,142870,41518.984,116530880.86206,0
1764658800000,2811.73,2813.42,2801.29,2804.20,57536.283,1764662399999,161432717.53303,112378,28685.056,80478042.95167,0
1764662400000,2804.20,2805.52,2780.60,2797.19,166555.961,1764665999999,465072449.98424,233610,76461.632,213507132.74388,0
1764666000000,2797.19,2810.98,2794.00,2796.60,98244.299,1764669599999,275256937.50200,180839,52032.007,145805166.10119,0
1764669600000,2796.60,2834.02,2796.33,2821.71,180739.074,1764673199999,509245566.97593,233775,105395.218,296968419.12989,0
1764673200000,2821.72,2829.46,2814.81,2824.67,117093.964,1764676799999,330563691.76732,193747,56253.061,158814805.27313,0
1764676800000,2824.68,2830.28,2815.00,2826.48,88044.622,1764680399999,248566544.67992,147334,45828.592,129397237.97807,0
1764680400000,2826.48,2847.30,2820.84,2842.95,206870.029,1764683999999,586845602.46908,327490,112755.763,319870472.21182,0
1764684000000,2842.95,2909.27,2838.97,2893.69,661811.967,1764687599999,1902550764.02511,930926,346877.770,997485557.16127,0
1764687600000,2893.69,3026.04,2892.35,3005.55,1070021.864,1764691199999,3174047905.89322,1612436,602380.930,1786101087.09540,0
1764691200000,3005.55,3024.21,2985.13,2994.08,516287.852,1764694799999,1550089639.40447,793559,213470.911,641179130.21037,0
1764694800000,2994.09,3034.94,2992.60,3014.36,319416.710,1764698399999,962802454.30608,480034,162394.165,489469043.85654,0
1764698400000,3014.36,3032.53,3006.15,3012.38,202066.925,1764701999999,610247768.71248,329119,99098.845,299342291.34597,0
1764702000000,3012.38,3028.81,3011.56,3014.61,106309.505,1764705599999,320957039.90007,206152,48393.265,146116628.90803,0
1764705600000,3014.60,3015.78,2970.04,2978.68,258512.013,1764709199999,772978348.21364,393243,114422.089,342090828.19417,0
1764709200000,2978.68,2996.68,2976.00,2993.85,87416.753,1764712799999,261068500.73754,194153,47030.795,140465830.67652,0
1764712800000,2993.85,3020.00,2993.52,3016.32,105444.275,1764716399999,317281894.22282,197100,54058.798,162660722.31532,0
1764716400000,3016.32,3017.26,2989.93,2994.63,85872.095,1764719999999,257907258.70497,160601,38493.628,115609211.61260,0
1764720000000,2994.63,3007.38,2983.76,3001.72,114315.615,1764723599999,342542188.02461,235793,54574.398,163546219.90789,0
1764723600000,3001.72,3027.32,2997.75,3014.27,130589.959,1764727199999,393494782.05683,228853,72053.763,217127253.09407,0
