open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759399200000,118813.30,118885.80,118530.80,118575.30,2351.811,1759402799999,279121414.44810,59600,1103.698,130989244.18570,0
1759402800000,118575.30,118843.80,118481.60,118716.00,2216.764,1759406399999,263036802.03290,60389,1089.050,129228823.33180,0
1759406400000,118716.10,119361.40,118690.40,119360.10,6547.795,1759409999999,779754456.88230,136514,3733.610,444610982.74330,0
1759410000000,119360.00,119733.00,118868.20,119559.60,11332.135,1759413599999,1353096010.37140,237460,6387.700,762855734.34310,0
1759413600000,119559.60,119747.20,118606.20,118768.00,11360.065,1759417199999,1353854256.80540,258875,4913.825,585528028.39210,0
1759417200000,118768.10,119889.00,118458.40,119875.10,13518.210,1759420799999,1612411335.24020,274691,7214.445,860805843.53480,0
1759420800000,119875.10,120291.00,119564.90,119694.00,11959.603,1759424399999,1434581456.96170,263464,6129.632,735372393.30470,0
1759424400000,119694.00,119916.80,119317.00,119869.10,5205.304,1759427999999,622438490.93960,143519,2876.803,344020646.59940,0
1759428000000,119869.10,120637.20,119859.90,120461.60,8242.659,1759431599999,990894766.60050,179322,4637.864,557658374.57040,0
1759431600000,120461.60,120999.00,120398.20,120787.90,11000.641,1759435199999,1328577934.59290,217014,5613.829,678020278.23980,0
1759435200000,120787.80,120880.90,120258.10,120598.80,5063.339,1759438799999,610470736.48660,128373,2481.189,299165371.53940,0
1759438800000,120598.90,120735.00,120105.10,120105.20,2690.851,1759442399999,323898097.09980,67526,1235.925,148814474.68510,0
1759442400000,120105.10,120372.10,120018.00,120208.80,2926.964,1759445999999,351782879.48860,83971,1351.171,162403376.30210,0
1759446000000,120208.70,120633.00,120191.90,120481.30,3922.061,1759449599999,472253230.47330,97276,1965.867,236705914.35410,0
1759449600000,120481.30,120505.50,120033.00,120097.10,3259.382,1759453199999,391796127.01320,89425,1388.058,166837944.51650,0
1759453200000,120097.20,120255.10,119766.00,119832.60,4258.894,1759456799999,511197204.00650,112212,1792.696,215190662.76510,0
1759456800000,119832.60,120237.90,119823.60,120117.90,2922.748,1759460399999,350814618.19090,90140,1729.695,207619519.97340,0
1759460400000,120118.00,120447.20,120108.50,120185.40,3863.558,1759463999999,464736256.10380,93722,2225.821,267751292.94200,0
1759464000000,120185.40,120281.60,119954.80,120000.20,1994.259,1759467599999,239512531.80910,62190,895.807,107587892.03060,0
1759467600000,120000.20,120033.00,119700.00,119894.50,3047.843,1759471199999,365314635.97810,73015,1520.813,182269714.65960,0
1759471200000,119894.50,120040.00,119725.20,119882.60,2240.544,1759474799999,268631353.16940,66424,1162.413,139383729.95250,0
1759474800000,119882.50,119985.50,119579.60,119620.10,5028.064,1759478399999,601980718.17360,98294,2158.187,258391637.06450,0
1759478400000,119620.10,120058.20,119200.00,120007.00,7679.094,1759481999999,918505217.61450,159260,3807.030,455431841.43140,0
1759482000000,120007.00,120342.00,119968.60,120257.80,4545.005,1759485599999,546155877.93790,101906,2272.688,273126080.44830,0
1759485600000,120257.90,120484.10,120226.00,120392.80,2723.710,1759489199999,327867040.34080,72193,1583.284,190589076.03820,0
1759489200000,120392.90,120444.20,120100.00,120307.20,2932.482,1759492799999,352715506.38460,74787,1256.096,151083756.39870,0
1759492800000,120307.20,120377.90,120061.30,120320.70,2705.427,1759496399999,325320494.36430,85441,1269.182,152621026.11590,0
1759496400000,120320.60,120687.30,120058.00,120325.00,6272.209,1759499999999,754913909.61130,182230,3168.286,381384208.02860,0
1759500000000,120325.10,120935.00,119820.40,120861.40,9725.424,1759503599999,1171368330.36590,247819,4847.846,584030914.29270,0
1759503600000,120861.40,122399.90,120579.10,122238.50,19913.125,1759507199999,2420145209.84700,386769,12016.311,1460716388.07370,0
1759507200000,122238.50,123900.00,122238.50,122527.10,34220.437,1759510799999,4213742331.41430,624163,18107.027,2229522223.26380,0
1759510800000,122527.00,123092.50,121528.10,122035.50,27849.181,1759514399999,3405341134.26630,554362,13675.338,1672467600.80330,0
1759514400000,122035.60,122714.20,121425.50,122505.60,8419.219,1759517999999,1028744202.44820,254988,4382.567,535544372.46650,0
1759518000000,122505.70,122930.30,122313.00,122609.30,4212.991,1759521599999,516632307.20860,118889,2240.027,274688410.38630,0
1759521600000,122609.30,122694.10,121986.30,122402.20,3803.672,1759525199999,465190208.50910,105475,1904.480,232893893.00860,0
1759525200000,122402.30,122406.20,121944.70,122245.20,2709.706,1759528799999,331182905.83850,65935,1213.708,148320983.29850,0
1759528800000,122245.20,122622.70,122245.20,122427.70,1705.507,1759532399999,208848273.47900,50854,836.087,102380682.44870,0
1759532400000,122427.70,122427.70,122125.10,122182.70,1847.781,1759535999999,225854038.49960,52539,888.802,108629477.20150,0
1759536000000,122182.60,122256.40,121936.20,122076.40,4446.878,1759539599999,542876727.49620,94893,2172.339,265191218.25970,0
1759539600000,122076.40,122076.40,121650.80,121818.90,4327.838,1759543199999,527484917.11990,90008,1969.502,240059594.71970,0
1759543200000,121819.00,122000.00,121636.40,121811.70,5212.689,1759546799999,634827692.23260,103166,2730.701,332572982.80060,0
1759546800000,121811.70,122301.90,121781.90,122197.20,2552.358,1759550399999,311454213.11000,69142,1506.711,183866290.33360,0
1759550400000,122197.30,122486.80,122168.40,122448.80,3824.172,1759553999999,467811102.84010,74784,1924.320,235408027.60830,0
1759554000000,122448.70,122781.10,122353.80,122480.60,4647.445,1759557599999,569555040.50650,91997,2170.795,266044890.20070,0
1759557600000,122480.70,122551.30,122325.60,122388.90,2731.398,1759561199999,334464030.67380,60581,1330.736,162951544.11260,0
1759561200000,122388.90,122414.80,122209.70,122271.30,1963.167,1759564799999,240086374.37360,49583,967.019,118268267.28410,0
1759564800000,122271.40,122497.40,122141.50,122226.20,2983.378,1759568399999,364989338.08390,67651,1552.760,189979397.47660,0
1759568400000,122226.20,122414.10,122133.00,122168.00,1461.060,1759571999999,178657281.55620,41806,667.674,81649350.49520,0
1759572000000,122168.00,122293.20,122062.10,122075.00,1435.363,1759575599999,175361858.82080,39748,666.291,81410212.01530,0
1759575600000,122075.10,122177.30,121908.30,121924.60,2267.611,1759579199999,276690694.33340,59212,1071.600,130761058.78140,0
1759579200000,121924.60,122060.40,121891.20,121955.00,1602.928,1759582799999,195520584.99530,42592,782.054,95397980.82600,0
1759582800000,121954.90,122480.90,121954.90,122335.50,3598.480,1759586399999,440126551.42470,82651,2144.399,262260307.35440,0
1759586400000,122335.50,122411.50,121944.30,121944.40,2182.577,1759589999999,266647706.39620,65521,905.238,110610675.18990,0
1759590000000,121944.40,122085.10,121638.50,121744.80,6087.883,1759593599999,741620125.15020,137290,2991.147,364391303.18840,0
1759593600000,121744.80,121920.00,121533.30,121668.50,5970.074,1759597199999,726429573.90200,119958,2225.922,270866281.36330,0
1759597200000,121668.40,121869.60,121610.00,121698.00,2172.198,1759600799999,264406544.53530,59679,1064.964,129626940.24620,0
1759600800000,121698.00,121784.30,121432.00,121533.40,2706.467,1759604399999,329151892.19610,60603,1043.421,126903393.90790,0
1759604400000,121533.30,121919.00,121533.30,121919.00,1561.260,1759607999999,190097841.35000,44819,960.989,117009304.21870,0
1759608000000,121918.90,122055.40,121832.80,121832.80,1604.028,1759611599999,195613692.79400,46459,836.134,101975881.59140,0
1759611600000,121832.90,122310.70,121813.40,122139.90,2415.945,1759615199999,295137698.09720,45433,1464.855,178954681.39950,0
1759615200000,122139.90,122322.20,122089.20,122230.90,1463.448,1759618799999,178842500.86010,36285,691.387,84493349.90990,0
1759618800000,122231.00,122374.80,122159.90,122343.20,1260.565,1759622399999,154109069.31720,31142,634.281,77542474.34700,0
1759622400000,122343.20,122369.30,122101.20,122112.50,1635.070,1759625999999,199848664.68230,41833,783.708,95791341.33050,0
1759626000000,122112.50,122377.70,122088.10,122326.90,1793.004,1759629599999,219173060.61060,40983,987.669,120716289.51090,0
1759629600000,122326.80,124374.00,122290.50,124012.20,22852.730,1759633199999,2822802029.05230,378701,14018.862,1730462172.46970,0
1759633200000,124012.20,124153.30,123303.60,123735.70,8450.374,1759636799999,1046370291.40400,212286,4290.380,531269116.47190,0
1759636800000,123735.70,125877.30,123678.00,125167.50,21559.855,1759640399999,2693186112.02980,484220,12535.873,1566157389.42890,0
1759640400000,125167.40,125420.10,124856.20,125103.00,9910.344,1759643999999,1240116095.33510,276354,4905.633,613891291.93410,0
1759644000000,125103.00,125215.60,124784.40,124977.70,4901.981,1759647599999,612739367.84900,135779,2589.804,323743340.00430,0
1759647600000,124977.70,125147.00,124558.80,124692.40,6424.283,1759651199999,801889815.06310,148725,2870.689,358387934.84850,0
1759651200000,124692.50,124843.00,124524.90,124580.90,3951.400,1759654799999,492648350.08400,102933,2023.566,252300811.62770,0
1759654800000,124581.00,124644.90,122720.40,122998.00,21076.326,1759658399999,2601648885.81250,355514,9736.936,1201505851.07810,0
1759658400000,122998.00,123102.60,122472.00,122980.90,10093.997,1759661999999,1239672174.97990,200630,4722.050,580057243.21690,0
1759662000000,122981.00,123500.00,122788.00,123413.20,6432.708,1759665599999,792369104.31270,146651,3425.454,421999168.85140,0
1759665600000,123413.30,123413.30,122875.40,123035.80,3676.748,1759669199999,452589692.50640,109498,1639.336,201783075.94180,0
1759669200000,123035.90,123295.00,123012.30,123120.00,2266.769,1759672799999,279230211.88610,76329,1076.734,132637904.01020,0
1759672800000,123119.90,123288.60,122684.90,122983.40,3795.957,1759676399999,466706499.08600,99787,1482.317,182284730.09310,0
1759676400000,122983.20,122983.20,122600.00,122753.00,2669.265,1759679999999,327757460.45780,81737,1179.971,144898057.22410,0
1759680000000,122752.90,123295.00,122160.00,123210.10,9044.185,1759683599999,1110348787.86490,177233,4087.200,502017269.73570,0
1759683600000,123210.00,123422.00,122840.90,123013.90,4795.143,1759687199999,590752572.27930,123410,1999.765,246391821.74950,0
1759687200000,123013.80,123166.70,122814.70,122963.50,2846.900,1759690799999,350121087.96270,91781,1595.744,196249733.99350,0
1759690800000,122963.50,122982.90,122442.60,122550.40,3318.983,1759694399999,407160478.11220,94513,1426.409,175000531.28910,0
1759694400000,122550.50,123023.90,122425.70,122648.50,2446.382,1759697999999,300273534.81960,80779,1425.011,174921406.87220,0
1759698000000,122648.10,122751.60,122440.10,122682.30,1439.664,1759701599999,176493252.38400,47216,674.481,82694291.32940,0
1759701600000,122682.30,123228.00,122682.20,123188.50,2865.653,1759705199999,352576561.33660,79328,1737.664,213791163.57460,0
