timestamp,open,high,low,close
1759276800000000,4145.15000000,4152.37000000,4124.12000000,4148.45000000
1759280400000000,4148.46000000,4174.63000000,4142.68000000,4171.33000000
1759284000000000,4171.33000000,4171.33000000,4152.73000000,4152.96000000
1759287600000000,4152.95000000,4153.87000000,4128.19000000,4128.66000000
1759291200000000,4128.65000000,4156.61000000,4126.50000000,4140.38000000
1759294800000000,4140.38000000,4156.79000000,4140.06000000,4143.86000000
1759298400000000,4143.86000000,4146.54000000,4123.08000000,4126.26000000
1759302000000000,4126.27000000,4147.55000000,4125.00000000,4145.80000000
1759305600000000,4145.80000000,4329.00000000,4142.92000000,4291.23000000
1759309200000000,4291.24000000,4318.11000000,4280.06000000,4310.89000000
1759312800000000,4310.89000000,4312.65000000,4278.58000000,4282.62000000
1759316400000000,4282.62000000,4305.20000000,4282.62000000,4298.20000000
1759320000000000,4298.21000000,4314.00000000,4280.00000000,4284.39000000
1759323600000000,4284.39000000,4302.36000000,4280.00000000,4295.26000000
1759327200000000,4295.25000000,4340.60000000,4291.22000000,4323.95000000
1759330800000000,4323.95000000,4344.00000000,4314.43000000,4327.23000000
1759334400000000,4327.24000000,4340.00000000,4318.00000000,4324.57000000
1759338000000000,4324.56000000,4332.86000000,4288.64000000,4293.11000000
1759341600000000,4293.12000000,4318.28000000,4291.86000000,4308.35000000
1759345200000000,4308.35000000,4339.88000000,4305.98000000,4334.53000000
1759348800000000,4334.52000000,4337.32000000,4315.23000000,4334.63000000
1759352400000000,4334.64000000,4335.01000000,4287.50000000,4304.79000000
1759356000000000,4304.80000000,4329.41000000,4304.80000000,4312.96000000
1759359600000000,4312.96000000,4355.46000000,4310.80000000,4348.03000000
1759363200000000,4348.03000000,4380.87000000,4333.34000000,4335.15000000
1759366800000000,4335.15000000,4398.62000000,4332.73000000,4393.31000000
1759370400000000,4393.31000000,4399.11000000,4366.37000000,4386.25000000
1759374000000000,4386.24000000,4398.40000000,4370.47000000,4376.30000000
1759377600000000,4376.30000000,4384.99000000,4358.26000000,4371.99000000
1759381200000000,4371.99000000,4397.00000000,4370.13000000,4384.02000000
1759384800000000,4384.01000000,4423.35000000,4373.07000000,4403.50000000
1759388400000000,4403.49000000,4409.56000000,4370.56000000,4375.78000000
1759392000000000,4375.77000000,4393.94000000,4369.32000000,4387.63000000
1759395600000000,4387.63000000,4395.78000000,4378.76000000,4391.59000000
1759399200000000,4391.58000000,4395.98000000,4374.94000000,4379.82000000
1759402800000000,4379.82000000,4394.13000000,4371.82000000,4378.93000000
1759406400000000,4378.92000000,4407.37000000,4376.59000000,4406.02000000
1759410000000000,4406.03000000,4418.82000000,4379.38000000,4417.46000000
1759413600000000,4417.45000000,4420.76000000,4367.32000000,4374.42000000
1759417200000000,4374.42000000,4443.00000000,4335.74000000,4437.09000000
1759420800000000,4437.10000000,4470.00000000,4426.12000000,4448.40000000
1759424400000000,4448.40000000,4478.10000000,4439.73000000,4466.31000000
1759428000000000,4466.32000000,4497.00000000,4466.00000000,4487.30000000
1759431600000000,4487.30000000,4516.74000000,4484.54000000,4495.61000000
1759435200000000,4495.62000000,4497.87000000,4468.08000000,4491.46000000
1759438800000000,4491.45000000,4496.51000000,4468.02000000,4468.71000000
1759442400000000,4468.71000000,4485.09000000,4457.27000000,4464.13000000
1759446000000000,4464.14000000,4488.02000000,4462.97000000,4484.35000000
1759449600000000,4484.35000000,4484.81000000,4466.22000000,4468.41000000
1759453200000000,4468.42000000,4479.33000000,4461.01000000,4471.92000000
1759456800000000,4471.92000000,4515.14000000,4471.28000000,4510.19000000
1759460400000000,4510.19000000,4560.00000000,4491.00000000,4500.59000000
1759464000000000,4500.59000000,4510.79000000,4481.66000000,4496.98000000
1759467600000000,4496.98000000,4500.71000000,4466.77000000,4476.32000000
1759471200000000,4476.32000000,4485.27000000,4458.10000000,4472.09000000
1759474800000000,4472.09000000,4476.45000000,4454.00000000,4462.33000000
1759478400000000,4462.32000000,4466.58000000,4428.00000000,4466.23000000
1759482000000000,4466.24000000,4481.60000000,4457.17000000,4473.26000000
1759485600000000,4473.26000000,4495.00000000,4467.97000000,4489.56000000
1759489200000000,4489.55000000,4490.32000000,4466.17000000,4478.45000000
1759492800000000,4478.46000000,4492.24000000,4472.99000000,4482.41000000
1759496400000000,4482.41000000,4504.46000000,4450.44000000,4470.97000000
1759500000000000,4470.97000000,4489.94000000,4436.26000000,4482.84000000
1759503600000000,4482.84000000,4541.66000000,4457.71000000,4534.75000000
1759507200000000,4534.75000000,4591.59000000,4519.49000000,4525.42000000
1759510800000000,4525.42000000,4526.66000000,4453.08000000,4471.66000000
1759514400000000,4471.67000000,4512.60000000,4450.62000000,4512.57000000
1759518000000000,4512.57000000,4544.74000000,4503.29000000,4519.48000000
1759521600000000,4519.49000000,4542.97000000,4493.72000000,4534.94000000
1759525200000000,4534.95000000,4537.27000000,4514.74000000,4523.10000000
1759528800000000,4523.11000000,4534.49000000,4523.10000000,4528.40000000
1759532400000000,4528.40000000,4528.70000000,4507.50000000,4512.87000000
1759536000000000,4512.88000000,4516.91000000,4495.25000000,4501.46000000
1759539600000000,4501.45000000,4501.91000000,4468.51000000,4479.67000000
1759543200000000,4479.67000000,4489.31000000,4463.17000000,4484.77000000
1759546800000000,4484.77000000,4488.82000000,4470.92000000,4487.06000000
1759550400000000,4487.07000000,4499.49000000,4479.66000000,4494.45000000
1759554000000000,4494.46000000,4510.62000000,4492.99000000,4504.05000000
1759557600000000,4504.05000000,4517.93000000,4502.14000000,4506.77000000
1759561200000000,4506.78000000,4513.82000000,4493.84000000,4498.29000000
1759564800000000,4498.28000000,4503.04000000,4483.01000000,4489.22000000
1759568400000000,4489.22000000,4502.19000000,4483.42000000,4489.69000000
1759572000000000,4489.69000000,4503.90000000,4483.54000000,4487.55000000
1759575600000000,4487.55000000,4495.13000000,4479.93000000,4483.83000000
1759579200000000,4483.84000000,4489.08000000,4474.58000000,4479.74000000
1759582800000000,4479.75000000,4509.15000000,4479.00000000,4499.53000000
1759586400000000,4499.53000000,4511.71000000,4469.67000000,4470.58000000
1759590000000000,4470.58000000,4483.20000000,4441.34000000,4455.05000000
1759593600000000,4455.08000000,4467.36000000,4440.00000000,4466.58000000
