timestamp,open,high,low,close
1764547200000,90320.50,90396.90,86939.60,86970.70
1764550800000,86970.60,87713.90,86900.00,87134.00
1764554400000,87134.00,87472.10,86428.70,86685.60
1764558000000,86685.70,86791.20,86126.00,86319.20
1764561600000,86319.10,86331.10,85666.00,85767.70
1764565200000,85767.70,85979.00,85563.70,85966.90
1764568800000,85966.80,86314.40,85929.50,86189.90
1764572400000,86190.00,86524.60,86006.80,86487.60
1764576000000,86487.30,86842.00,86339.50,86811.00
1764579600000,86811.00,86886.00,86459.10,86659.10
1764583200000,86659.20,86770.50,86500.80,86599.00
1764586800000,86599.00,86658.00,86090.00,86100.10
1764590400000,86100.00,86193.00,84700.10,85396.20
1764594000000,85396.30,86129.80,85310.20,85943.20
1764597600000,85943.70,86625.00,85810.60,86017.30
1764601200000,86017.40,86089.90,83786.00,84650.00
1764604800000,84650.00,85436.60,84011.00,84540.30
1764608400000,84540.40,85236.60,84414.10,84902.80
1764612000000,84902.60,85528.70,84677.80,85159.20
1764615600000,85159.10,85262.30,84566.40,84985.00
1764619200000,84985.00,85801.50,84966.80,85474.10
1764622800000,85474.10,86462.70,85456.00,86380.10
1764626400000,86380.10,86817.00,86238.10,86518.20
1764630000000,86518.40,86778.00,86200.00,86241.60
1764633600000,86241.50,86630.10,86140.10,86472.00
1764637200000,86471.90,87384.00,86346.10,86409.90
1764640800000,86409.90,86823.00,86223.20,86501.20
1764644400000,86501.10,87066.50,86159.90,86936.00
1764648000000,86935.90,87245.90,86859.20,86924.90
1764651600000,86924.80,87081.40,86772.00,86968.70
1764655200000,86968.60,87148.70,86820.00,87043.70
1764658800000,87043.70,87075.00,86834.50,86965.00
1764662400000,86965.00,87018.10,86321.00,86438.00
1764666000000,86438.10,86964.10,86416.70,86734.40
1764669600000,86734.40,87640.00,86724.40,87241.80
1764673200000,87241.80,87576.50,86908.80,87326.90
1764676800000,87327.00,87516.00,87130.30,87225.60
1764680400000,87225.60,87870.20,87005.00,87691.30
1764684000000,87691.20,89246.10,87560.00,89225.10
1764687600000,89225.10,91211.30,89225.00,90809.20
1764691200000,90809.20,91309.40,90156.40,90713.90
1764694800000,90713.80,91969.00,90698.70,91417.50
1764698400000,91417.50,92253.70,91299.90,91905.00
1764702000000,91905.00,92273.20,91791.00,91849.90
1764705600000,91849.90,91883.80,90643.50,90976.10
1764709200000,90976.10,91573.60,90904.30,91500.20
1764712800000,91500.20,91970.40,91443.50,91932.70
1764716400000,91932.70,91943.60,91231.00,91249.10
1764720000000,91249.10,91716.00,90954.80,91620.30
1764723600000,91620.30,92465.60,91418.70,92215.30
1764727200000,92215.50,93020.00,92101.20,92784.20
1764730800000,92784.10,93068.90,92545.60,92589.20
1764734400000,92589.20,93456.00,92578.00,93302.20
1764738000000,93302.10,93632.50,93051.90,93591.00
1764741600000,93591.10,93932.70,93092.50,93386.00
1764745200000,93386.00,93418.60,92820.00,92969.90
1764748800000,92970.00,93147.80,92636.60,92740.80
1764752400000,92740.80,93179.70,92672.30,93132.10
1764756000000,93132.10,93338.40,92807.30,92899.90
1764759600000,92899.90,93009.80,92602.80,92957.70
1764763200000,92957.60,93069.70,92637.90,92882.30
1764766800000,92882.20,93225.40,92828.60,93077.60
1764770400000,93077.70,93653.60,91637.40,92300.00
1764774000000,92300.00,92943.40,91873.90,92332.90
1764777600000,92333.00,92712.80,91733.20,92212.40
1764781200000,92212.40,93000.00,92159.90,92919.50
1764784800000,92919.40,93471.10,92315.30,92584.80
1764788400000,92584.80,93062.90,92489.30,92995.80
1764792000000,92995.80,93345.30,92784.30,92928.20
1764795600000,92928.80,93725.00,92801.00,93645.00
1764799200000,93645.00,94185.00,93232.80,93738.40
1764802800000,93738.50,94061.20,93297.80,93376.70
1764806400000,93376.80,93431.80,92628.00,93013.90
1764810000000,93013.90,93725.00,92940.40,93150.00
1764813600000,93150.00,94040.00,93072.80,93896.10
1764817200000,93896.10,94038.80,93351.00,93499.90
1764820800000,93500.00,93549.20,93170.00,93317.80
1764824400000,93317.80,93339.70,92737.00,92932.40
1764828000000,92932.40,93333.00,92800.10,93103.10
1764831600000,93103.00,93386.60,92852.40,93358.60
1764835200000,93358.50,93578.40,93002.50,93220.70
1764838800000,93220.70,93600.00,93201.00,93408.60
1764842400000,93408.60,93531.70,93111.10,93210.70
1764846000000,93210.70,93269.50,92666.10,92894.90
1764849600000,92894.90,93155.00,92725.40,92947.90
1764853200000,92947.80,93011.40,92366.00,92480.40
1764856800000,92480.40,92788.10,91762.00,91859.40
1764860400000,91859.30,93256.30,91845.80,92933.50
1764864000000,92933.40,93143.40,92220.00,92390.00
1764867600000,92389.90,92500.00,91700.00,92384.50
1764871200000,92384.60,92516.80,91909.80,92093.40
1764874800000,92093.40,92140.50,90822.50,91941.50
1764878400000,91941.50,92500.00,91649.80,92431.70
1764882000000,92431.80,92676.80,92036.10,92111.20
1764885600000,92111.20,92458.30,92103.20,92295.50
1764889200000,92295.50,92419.60,92022.30,92034.70
1764892800000,92034.70,92444.00,92015.00,92259.90
1764896400000,92259.80,92566.00,92188.80,92322.20
1764900000000,92322.10,92665.50,92215.00,92476.10
1764903600000,92476.10,92625.00,91917.70,92104.90
1764907200000,92104.80,92350.00,91750.60,91985.50
1764910800000,91985.60,92164.50,91829.60,91902.60
1764914400000,91902.70,92244.80,91865.30,92235.60
1764918000000,92235.60,92455.40,92158.50,92227.50
1764921600000,92227.60,92227.60,91857.60,92080.00
1764925200000,92079.90,92080.00,90940.40,91086.40
1764928800000,91086.40,91456.80,91042.80,91240.10
1764932400000,91240.00,91527.30,91081.10,91307.90
1764936000000,91308.00,91388.70,91015.70,91194.60
1764939600000,91194.60,91319.90,90195.30,90433.60
1764943200000,90433.60,90706.60,89863.00,90246.00
1764946800000,90246.00,91445.20,90210.60,90414.00
1764950400000,90413.90,90460.00,87976.30,88757.50
1764954000000,88757.60,89509.60,88558.80,89279.30
1764957600000,89279.30,89750.60,88839.00,88894.90
1764961200000,88895.00,89762.00,88773.60,89590.50
1764964800000,89590.50,89706.00,89150.00,89267.80
1764968400000,89267.80,89448.80,89038.80,89145.10
1764972000000,89145.10,89335.50,88856.70,89199.30
1764975600000,89199.30,89342.00,88900.00,89288.50
1764979200000,89288.60,89441.90,88986.10,89382.20
1764982800000,89382.20,89468.30,89160.90,89295.70
1764986400000,89296.20,89374.90,89130.10,89354.60
1764990000000,89354.70,89758.00,89350.20,89636.50
1764993600000,89636.50,89670.00,89468.40,89612.20
1764997200000,89612.30,89696.70,89484.20,89556.70
1765000800000,89556.70,89732.40,89476.20,89643.10
1765004400000,89643.10,89680.20,89410.80,89549.60
1765008000000,89549.50,89608.00,89165.90,89238.30
1765011600000,89238.30,89639.30,89220.60,89532.90
1765015200000,89533.00,89650.00,89421.90,89466.00
1765018800000,89466.00,89679.00,89451.40,89585.40
1765022400000,89585.40,89600.00,89512.90,89528.40
1765026000000,89528.40,89745.60,89528.30,89619.50
1765029600000,89619.50,90257.30,89603.80,89948.60
1765033200000,89948.70,89993.20,89424.20,89713.40
1765036800000,89713.30,89940.30,89619.60,89660.80
1765040400000,89660.90,89798.00,89558.10,89661.70
1765044000000,89661.80,89751.90,89475.40,89610.00
1765047600000,89609.90,89710.10,89203.00,89369.40
1765051200000,89369.50,89527.40,89277.90,89509.50
1765054800000,89509.40,89578.30,89351.70,89377.30
1765058400000,89377.20,89487.80,89212.30,89245.10
1765062000000,89245.10,89293.40,88870.10,89197.10
1765065600000,89197.10,89520.00,89131.50,89354.30
1765069200000,89354.30,89543.80,89251.00,89251.00
1765072800000,89251.00,89656.20,89251.00,89580.10
1765076400000,89580.10,89704.50,89505.60,89675.60
1765080000000,89675.70,89750.00,89439.60,89495.20
1765083600000,89495.20,89525.60,89380.00,89469.20
1765087200000,89469.20,89668.10,89443.90,89668.10
1765090800000,89668.10,89697.70,89155.00,89337.10
1765094400000,89337.10,89494.40,89140.30,89269.40
1765098000000,89269.40,89360.00,89012.90,89070.00
1765101600000,89070.10,89359.30,89061.50,89195.50
1765105200000,89195.60,89237.20,89101.50,89109.40
1765108800000,89109.30,89557.90,89074.60,89428.80
1765112400000,89428.80,89472.00,88476.00,89011.00
1765116000000,89011.00,89069.50,87688.00,88187.50
1765119600000,88187.50,89700.00,88129.70,89505.00
1765123200000,89505.00,89880.00,89065.20,89849.30
