timestamp,open,high,low,close
1759276800000,113988.70,114246.00,113899.40,114181.10
1759280400000,114181.00,114498.00,114083.30,114491.60
1759284000000,114491.60,114494.00,114218.90,114219.00
1759287600000,114219.00,114481.20,114038.70,114135.90
1759291200000,114135.80,114669.00,114095.20,114227.80
1759294800000,114227.80,114700.00,114200.80,114511.40
1759298400000,114511.50,114570.10,114170.00,114212.80
1759302000000,114212.70,114539.10,114184.90,114480.80
1759305600000,114480.80,116599.80,114425.60,116060.50
1759309200000,116060.40,116500.00,115890.70,116372.40
1759312800000,116372.30,116520.00,116154.50,116233.60
1759316400000,116233.50,116750.00,116228.10,116736.80
1759320000000,116736.80,116850.00,116311.50,116373.70
1759323600000,116373.80,116802.00,116370.40,116762.50
1759327200000,116761.90,117400.00,116655.20,117245.30
1759330800000,117245.40,117647.80,117031.00,117366.40
1759334400000,117366.50,118190.00,117259.30,117480.10
1759338000000,117480.00,117649.20,116687.50,116734.20
1759341600000,116734.30,117312.70,116731.40,117192.30
1759345200000,117192.30,117572.70,117167.60,117374.10
1759348800000,117374.00,117493.60,117104.10,117474.60
1759352400000,117474.70,117524.90,117276.30,117503.20
1759356000000,117503.20,118041.90,117503.20,117695.80
1759359600000,117695.80,118631.80,117634.90,118552.40
1759363200000,118552.00,119457.00,118367.00,118397.00
1759366800000,118397.00,118862.00,118335.00,118577.40
1759370400000,118577.50,118748.80,118433.40,118697.40
1759374000000,118697.30,119043.40,118652.50,118697.00
1759377600000,118697.00,118893.80,118372.00,118616.80
1759381200000,118616.70,118641.80,118226.40,118329.70
1759384800000,118329.70,118644.80,118251.30,118600.00
1759388400000,118599.90,118629.80,118377.10,118444.10
1759392000000,118444.10,118647.70,118307.30,118635.40
1759395600000,118635.30,118827.70,118521.70,118813.30
1759399200000,118813.30,118885.80,118530.80,118575.30
1759402800000,118575.30,118843.80,118481.60,118716.00
1759406400000,118716.10,119361.40,118690.40,119360.10
1759410000000,119360.00,119733.00,118868.20,119559.60
1759413600000,119559.60,119747.20,118606.20,118768.00
1759417200000,118768.10,119889.00,118458.40,119875.10
1759420800000,119875.10,120291.00,119564.90,119694.00
1759424400000,119694.00,119916.80,119317.00,119869.10
1759428000000,119869.10,120637.20,119859.90,120461.60
1759431600000,120461.60,120999.00,120398.20,120787.90
1759435200000,120787.80,120880.90,120258.10,120598.80
1759438800000,120598.90,120735.00,120105.10,120105.20
1759442400000,120105.10,120372.10,120018.00,120208.80
1759446000000,120208.70,120633.00,120191.90,120481.30
1759449600000,120481.30,120505.50,120033.00,120097.10
1759453200000,120097.20,120255.10,119766.00,119832.60
1759456800000,119832.60,120237.90,119823.60,120117.90
1759460400000,120118.00,120447.20,120108.50,120185.40
1759464000000,120185.40,120281.60,119954.80,120000.20
1759467600000,120000.20,120033.00,119700.00,119894.50
1759471200000,119894.50,120040.00,119725.20,119882.60
1759474800000,119882.50,119985.50,119579.60,119620.10
1759478400000,119620.10,120058.20,119200.00,120007.00
1759482000000,120007.00,120342.00,119968.60,120257.80
1759485600000,120257.90,120484.10,120226.00,120392.80
1759489200000,120392.90,120444.20,120100.00,120307.20
1759492800000,120307.20,120377.90,120061.30,120320.70
1759496400000,120320.60,120687.30,120058.00,120325.00
1759500000000,120325.10,120935.00,119820.40,120861.40
1759503600000,120861.40,122399.90,120579.10,122238.50
1759507200000,122238.50,123900.00,122238.50,122527.10
1759510800000,122527.00,123092.50,121528.10,122035.50
1759514400000,122035.60,122714.20,121425.50,122505.60
1759518000000,122505.70,122930.30,122313.00,122609.30
1759521600000,122609.30,122694.10,121986.30,122402.20
1759525200000,122402.30,122406.20,121944.70,122245.20
1759528800000,122245.20,122622.70,122245.20,122427.70
1759532400000,122427.70,122427.70,122125.10,122182.70
1759536000000,122182.60,122256.40,121936.20,122076.40
