timestamp,open,high,low,close
1759276800000,4142.75,4150.00,4120.61,4146.65
1759280400000,4146.65,4172.47,4139.94,4168.68
1759284000000,4168.68,4168.93,4150.00,4150.99
1759287600000,4151.00,4151.97,4126.05,4126.84
1759291200000,4126.84,4155.00,4124.35,4138.47
1759294800000,4138.47,4155.93,4137.79,4142.37
1759298400000,4142.36,4145.38,4121.33,4124.64
1759302000000,4124.65,4146.33,4123.00,4143.99
1759305600000,4143.98,4329.00,4141.37,4289.99
1759309200000,4289.99,4317.11,4277.42,4308.43
1759312800000,4308.44,4310.98,4277.31,4280.40
1759316400000,4280.40,4303.26,4280.40,4295.88
1759320000000,4295.88,4312.34,4276.23,4282.37
1759323600000,4282.37,4301.00,4277.20,4293.58
1759327200000,4293.58,4337.99,4289.00,4321.58
1759330800000,4321.58,4343.29,4311.67,4325.01
1759334400000,4325.01,4337.92,4315.60,4322.64
1759338000000,4322.64,4331.60,4286.00,4291.55
1759341600000,4291.55,4316.80,4289.93,4306.17
1759345200000,4306.16,4338.04,4303.46,4332.24
1759348800000,4332.23,4335.35,4310.81,4332.99
1759352400000,4333.00,4333.47,4284.55,4302.52
1759356000000,4302.52,4327.45,4302.52,4310.55
1759359600000,4310.54,4356.07,4308.01,4345.85
1759363200000,4345.85,4378.00,4331.08,4333.16
1759366800000,4333.17,4397.40,4330.11,4390.86
1759370400000,4390.86,4397.56,4363.75,4383.68
1759374000000,4383.69,4397.73,4369.17,4374.99
1759377600000,4375.00,4383.74,4356.01,4370.90
1759381200000,4370.90,4396.18,4368.49,4381.85
1759384800000,4381.84,4422.30,4371.87,4401.53
1759388400000,4401.52,4407.67,4368.36,4373.65
1759392000000,4373.65,4392.31,4366.34,4385.68
1759395600000,4385.68,4394.37,4376.00,4389.36
1759399200000,4389.36,4393.93,4372.80,4378.03
1759402800000,4378.02,4392.55,4370.64,4377.24
1759406400000,4377.24,4406.03,4374.00,4403.81
1759410000000,4403.81,4416.96,4377.00,4414.97
1759413600000,4414.97,4418.88,4364.58,4372.55
1759417200000,4372.54,4441.67,4332.23,4435.49
1759420800000,4435.50,4469.00,4423.33,4446.61
1759424400000,4446.61,4476.78,4436.73,4464.17
1759428000000,4464.18,4495.71,4463.47,4485.01
1759431600000,4485.00,4516.65,4481.69,4493.06
1759435200000,4493.07,4495.36,4465.71,4488.99
1759438800000,4489.00,4494.76,4465.62,4466.66
1759442400000,4466.66,4483.13,4453.46,4461.86
1759446000000,4461.85,4485.31,4460.52,4481.70
1759449600000,4481.70,4481.71,4463.20,4466.48
1759453200000,4466.49,4477.90,4459.01,4469.64
1759456800000,4469.64,4514.51,4469.08,4508.00
1759460400000,4508.00,4559.00,4487.53,4498.96
1759464000000,4498.97,4509.25,4475.00,4494.98
1759467600000,4494.88,4499.72,4464.28,4474.70
1759471200000,4474.69,4484.11,4456.13,4470.10
