timestamp,open,high,low,close,volume
1709251200000,3343.16,3389.0,3342.18,3383.0,121436.655
1709254800000,3383.01,3393.22,3368.39,3379.01,75604.451
1709258400000,3379.0,3385.0,3355.82,3370.1,68868.445
1709262000000,3370.1,3382.08,3358.31,3371.36,54966.527
1709265600000,3371.36,3386.09,3368.8,3380.85,57349.969
1709269200000,3380.86,3390.0,3371.84,3372.72,49382.344
1709272800000,3372.73,3402.36,3372.0,3389.28,87822.288
1709276400000,3389.28,3398.92,3366.14,3367.73,82817.293
1709280000000,3367.73,3441.99,3355.24,3424.38,257211.688
1709283600000,3424.39,3435.57,3420.16,3432.13,79111.457
1709287200000,3432.13,3432.13,3404.06,3409.31,84969.855
1709290800000,3409.31,3422.44,3401.56,3414.27,66334.822
1709294400000,3414.27,3440.75,3413.64,3427.43,83061.03
1709298000000,3427.43,3454.19,3425.89,3442.2,90569.18
1709301600000,3442.2,3454.08,3380.92,3419.58,259540.406
1709305200000,3419.57,3432.0,3380.0,3393.63,174864.603
1709308800000,3393.63,3406.66,3383.52,3390.3,103599.117
1709312400000,3390.31,3429.22,3390.3,3423.33,126802.518
1709316000000,3423.32,3437.99,3413.44,3435.55,70229.399
1709319600000,3435.56,3439.49,3421.9,3431.14,46574.499
1709323200000,3431.15,3456.0,3424.3,3447.46,88295.611
1709326800000,3447.46,3452.86,3426.75,3429.75,85212.379
1709330400000,3429.75,3441.89,3427.16,3436.57,36049.079
1709334000000,3436.58,3452.53,3431.01,3435.82,46401.384
1709337600000,3435.83,3464.96,3430.12,3462.62,93642.908
1709341200000,3462.62,3463.44,3428.12,3446.57,79498.443
1709344800000,3446.57,3450.53,3432.08,3440.91,46016.918
1709348400000,3440.92,3447.99,3431.5,3445.79,54326.865
1709352000000,3445.8,3448.98,3430.01,3430.32,43472.021
1709355600000,3430.33,3434.24,3390.0,3422.69,124180.038
1709359200000,3422.68,3475.0,3418.29,3440.95,112536.963
1709362800000,3440.94,3445.0,3425.72,3433.71,56728.417
1709366400000,3433.71,3439.65,3408.05,3421.76,74897.729
1709370000000,3421.75,3427.0,3397.12,3407.47,81445.972
1709373600000,3407.48,3419.5,3405.38,3411.3,41884.869
1709377200000,3411.3,3420.86,3406.99,3407.88,35505.772
1709380800000,3407.87,3432.0,3407.11,3424.81,49540.068
1709384400000,3424.8,3428.3,3412.6,3413.65,39896.191
1709388000000,3413.66,3420.24,3397.07,3415.56,91225.831
1709391600000,3415.56,3427.64,3411.44,3421.37,62876.856
1709395200000,3421.37,3430.0,3413.42,3429.13,45164.522
1709398800000,3429.1,3435.75,3417.59,3417.59,41183.628
1709402400000,3417.59,3434.64,3416.63,3434.0,30672.195
1709406000000,3434.0,3434.88,3427.23,3429.71,23690.554
1709409600000,3429.71,3435.0,3406.46,3408.79,71447.345
1709413200000,3408.79,3416.25,3405.1,3411.39,30804.002
1709416800000,3411.38,3413.22,3405.4,3406.51,17657.915
1709420400000,3406.5,3424.43,3406.5,3424.43,37944.593
1709424000000,3424.43,3435.0,3412.0,3431.15,66398.804
1709427600000,3431.15,3437.64,3425.69,3434.33,37177.839
1709431200000,3434.33,3434.81,3413.49,3420.06,36983.016
1709434800000,3420.07,3435.38,3418.6,3434.84,37659.77
1709438400000,3434.83,3450.0,3431.68,3444.36,57853.286
1709442000000,3444.36,3447.68,3424.1,3424.54,48263.67
1709445600000,3424.54,3429.23,3411.14,3415.21,89375.661
1709449200000,3415.21,3418.25,3355.88,3394.76,285783.33
1709452800000,3394.76,3404.74,3377.55,3398.27,95069.48
1709456400000,3398.26,3417.79,3394.84,3410.11,58858.497
1709460000000,3410.1,3413.39,3399.32,3403.33,41676.389
1709463600000,3403.34,3417.6,3398.52,3416.31,36537.483
1709467200000,3416.31,3452.74,3414.29,3423.25,187594.075
1709470800000,3423.26,3432.56,3406.08,3431.98,88977.571
1709474400000,3431.94,3439.3,3417.49,3420.8,64176.409
1709478000000,3420.8,3433.8,3420.03,3424.31,47718.947
1709481600000,3424.31,3489.41,3421.21,3485.14,208915.39
1709485200000,3485.14,3489.63,3458.06,3463.84,94616.758
1709488800000,3463.85,3477.63,3459.84,3473.17,46079.371
1709492400000,3473.16,3477.99,3465.76,3468.03,30374.429
1709496000000,3468.04,3477.64,3462.0,3472.05,31621.996
1709499600000,3472.05,3482.0,3465.04,3480.22,33563.294
1709503200000,3480.23,3496.78,3463.32,3476.58,94757.79
1709506800000,3476.58,3494.77,3467.95,3491.77,69203.281
1709510400000,3491.78,3538.19,3420.22,3490.47,426083.483
1709514000000,3490.47,3497.81,3470.43,3482.04,96974.984
1709517600000,3482.05,3504.89,3464.96,3492.06,87807.879
1709521200000,3492.07,3492.89,3468.27,3475.49,61239.147
1709524800000,3475.5,3490.95,3472.18,3487.17,43750.041
1709528400000,3487.18,3489.0,3457.64,3467.55,110669.845
1709532000000,3467.55,3476.07,3465.1,3475.26,44720.442
1709535600000,3475.27,3489.3,3463.32,3480.36,81852.057
1709539200000,3480.37,3549.0,3479.99,3538.65,282268.734
1709542800000,3538.66,3539.73,3502.07,3527.58,156978.295
1709546400000,3527.58,3528.44,3484.16,3500.48,148589.576
1709550000000,3500.48,3515.44,3494.19,3510.35,73276.056
1709553600000,3510.36,3511.92,3500.04,3509.37,48270.875
1709557200000,3509.37,3522.94,3487.0,3493.32,116466.894
1709560800000,3493.33,3553.0,3460.0,3537.2,400994.898
1709564400000,3537.21,3577.0,3525.0,3562.65,266498.64
1709568000000,3562.64,3578.97,3538.0,3553.19,176257.551
1709571600000,3553.19,3589.43,3531.21,3546.81,296550.726
1709575200000,3546.81,3601.94,3535.0,3600.89,234821.36
1709578800000,3600.88,3616.78,3585.24,3596.91,174938.614
1709582400000,3596.91,3599.95,3575.96,3587.33,112528.859
1709586000000,3587.29,3597.0,3561.0,3583.3,112838.741
1709589600000,3583.27,3612.31,3566.25,3611.32,97735.689
1709593200000,3611.33,3644.77,3608.77,3629.72,256014.966
1709596800000,3629.72,3640.43,3610.12,3622.01,134851.399
1709600400000,3622.01,3661.4,3618.02,3647.65,153267.539
1709604000000,3647.64,3648.46,3611.0,3627.0,141054.795
1709607600000,3627.0,3705.6,3616.15,3695.86,208716.908
1709611200000,3695.86,3751.11,3676.21,3702.73,421689.932
1709614800000,3702.73,3743.89,3645.91,3722.88,398372.792
1709618400000,3722.88,3732.45,3704.53,3717.0,138812.367
1709622000000,3717.0,3726.94,3678.0,3678.0,152090.834
1709625600000,3678.0,3706.24,3656.0,3697.82,184202.087
1709629200000,3697.74,3709.11,3680.08,3694.91,83805.903
1709632800000,3694.91,3732.91,3693.65,3717.37,127994.278
